序号	class	pdate	sequence	amount	forecast
 394	1	1189	20180325	1.2520578220699E9	1.2674267745689E9
 395	1	2	20141221	594.24	
 396	1	4	20141225	30.6	
 397	1	7	20141229	4771.5099	
 398	1	9	20141231	25169.8799	
 399	1	13	20150104	266803.92	
 400	1	18	20150109	782460.25	
 401	1	20	20150111	405229.9699	
 402	1	22	20150113	519556.46	
 403	1	24	20150115	582122.31	
 404	1	25	20150116	759193.02	
 405	1	31	20150122	1064765.31	
 406	1	36	20150127	1833201.6799	
 407	1	43	20150203	2.37348665199E7	
 408	1	44	20150204	2.224020201E7	
 409	1	45	20150205	2.16713300499E7	
 410	1	46	20150206	2.428993018E7	
 411	1	47	20150207	2.13374526399E7	
 412	1	48	20150208	2.41973061299E7	
 413	1	49	20150209	8.47697862299E7	
 414	1	50	20150210	1.917585901999E8	
 415	1	52	20150212	6933489.53	
 416	1	53	20150213	5919059.93	
 417	1	56	20150216	3809203.69	
 418	1	57	20150217	3174181.67	
 419	1	58	20150218	1553289.8599	
 420	1	60	20150220	1106377.5799	
 421	1	62	20150222	1562467.2199	
 422	1	64	20150224	2397209.5499	
 423	1	65	20150225	3910008.24	
 424	1	67	20150227	5038806.1699	
 425	1	71	20150303	3.32131293499E7	
 426	1	72	20150304	2.73540100899E7	
 427	1	74	20150306	2.77499919699E7	
 428	1	75	20150307	2.49859503999E7	
 429	1	77	20150309	9.95550137299E7	
 430	1	78	20150310	2.5849634726E8	
 431	1	80	20150312	7560222.3599	
 432	1	82	20150314	3539525.4899	
 433	1	85	20150317	4489212.6999	
 434	1	88	20150320	4101453.1299	
 435	1	89	20150321	3035268.01	
 436	1	90	20150322	2773037.7399	
 437	1	91	20150323	4185473.13	
 438	1	93	20150325	4176560.8999	
 439	1	100	20150401	1.4297342305E8	
 440	1	101	20150402	5.60050113199E7	
 441	1	104	20150405	2.73072093799E7	
 442	1	105	20150406	3.65138891299E7	
 443	1	107	20150408	7.11870264099E7	
 444	1	111	20150412	1.21509366899E7	
 445	1	118	20150419	9521827.6899	
 446	1	120	20150421	1.453142308E7	
 447	1	121	20150422	1.40595131699E7	
 448	1	124	20150425	1.296168913E7	
 449	1	131	20150502	4.82344551299E7	
 450	1	132	20150503	5.54877444199E7	
 451	1	137	20150508	1.3137737231E8	
 452	1	143	20150514	3.45785267699E7	
 453	1	144	20150515	3.62462831799E7	
